#options: 640x480 fps=2997/100 timebase=100/2997 bitdepth=8 cabac=0 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=2 keyint=90 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1200 ratetol=1.0 qcomp=0.60 qpmin=10 qpmax=51 qpstep=4 ip_ratio=1.41 aq=1:1.00
in:121 out:121 type:P dur:2 cpbdur:2 q:26.76 aq:21.92 tex:26601 mv:2362 misc:1029 imb:12 pmb:468 smb:720 d:- ref:0 ;
in:122 out:122 type:P dur:2 cpbdur:2 q:26.75 aq:21.83 tex:25440 mv:2214 misc:986 imb:15 pmb:418 smb:767 d:- ref:0 ;
in:123 out:123 type:P dur:2 cpbdur:2 q:26.67 aq:22.16 tex:29466 mv:2805 misc:993 imb:22 pmb:491 smb:687 d:- ref:0 ;
in:124 out:124 type:P dur:2 cpbdur:2 q:26.69 aq:21.89 tex:38312 mv:3269 misc:1043 imb:20 pmb:557 smb:623 d:- ref:0 ;
in:125 out:125 type:P dur:2 cpbdur:2 q:26.61 aq:22.11 tex:18598 mv:2239 misc:995 imb:5 pmb:407 smb:788 d:- ref:0 ;
in:126 out:126 type:P dur:2 cpbdur:2 q:26.59 aq:21.60 tex:36873 mv:3333 misc:1170 imb:17 pmb:625 smb:558 d:- ref:0 ;
in:127 out:127 type:P dur:2 cpbdur:2 q:26.55 aq:21.97 tex:21631 mv:2917 misc:1052 imb:17 pmb:489 smb:694 d:- ref:0 ;
in:128 out:128 type:P dur:2 cpbdur:2 q:26.51 aq:21.31 tex:37660 mv:3211 misc:1089 imb:19 pmb:577 smb:604 d:- ref:0 ;
in:129 out:129 type:P dur:2 cpbdur:2 q:26.48 aq:22.03 tex:18867 mv:2580 misc:1065 imb:8 pmb:474 smb:718 d:- ref:0 ;
in:130 out:130 type:P dur:2 cpbdur:2 q:26.49 aq:21.74 tex:31182 mv:2957 misc:1053 imb:10 pmb:529 smb:661 d:- ref:0 ;
in:131 out:131 type:P dur:2 cpbdur:2 q:26.42 aq:22.08 tex:17732 mv:2296 misc:1020 imb:12 pmb:406 smb:782 d:- ref:0 ;
in:132 out:132 type:P dur:2 cpbdur:2 q:26.42 aq:22.15 tex:27245 mv:2852 misc:1063 imb:23 pmb:492 smb:685 d:- ref:0 ;
in:133 out:133 type:P dur:2 cpbdur:2 q:26.37 aq:20.85 tex:71764 mv:3997 misc:1047 imb:188 pmb:387 smb:625 d:- ref:0 ;
in:134 out:134 type:P dur:2 cpbdur:2 q:26.37 aq:20.37 tex:12066 mv:1730 misc:972 imb:10 pmb:308 smb:882 d:- ref:0 ;
in:135 out:135 type:P dur:2 cpbdur:2 q:26.31 aq:20.60 tex:17563 mv:2270 misc:1079 imb:10 pmb:420 smb:770 d:- ref:0 ;
in:136 out:136 type:P dur:2 cpbdur:2 q:26.29 aq:21.05 tex:34785 mv:2938 misc:1173 imb:30 pmb:566 smb:604 d:- ref:0 ;
in:137 out:137 type:P dur:2 cpbdur:2 q:26.22 aq:20.51 tex:13566 mv:2092 misc:1030 imb:19 pmb:354 smb:827 d:- ref:0 ;
in:138 out:138 type:P dur:2 cpbdur:2 q:26.19 aq:20.58 tex:39431 mv:4031 misc:1314 imb:38 pmb:715 smb:447 d:- ref:0 ;
in:139 out:139 type:P dur:2 cpbdur:2 q:26.31 aq:20.97 tex:13645 mv:2234 misc:1121 imb:14 pmb:400 smb:786 d:- ref:0 ;
in:140 out:140 type:P dur:2 cpbdur:2 q:26.22 aq:20.26 tex:34673 mv:3260 misc:1227 imb:28 pmb:602 smb:570 d:- ref:0 ;
in:141 out:141 type:P dur:2 cpbdur:2 q:26.16 aq:20.68 tex:20027 mv:2419 misc:1162 imb:18 pmb:449 smb:733 d:- ref:0 ;
in:142 out:142 type:P dur:2 cpbdur:2 q:26.15 aq:19.90 tex:28757 mv:2927 misc:1244 imb:26 pmb:557 smb:617 d:- ref:0 ;
in:143 out:143 type:P dur:2 cpbdur:2 q:26.07 aq:20.20 tex:30852 mv:3190 misc:1214 imb:32 pmb:548 smb:620 d:- ref:0 ;
in:144 out:144 type:P dur:2 cpbdur:2 q:26.08 aq:20.60 tex:26744 mv:2858 misc:1102 imb:14 pmb:512 smb:674 d:- ref:0 ;
