#options: 640x480 fps=2997/100 timebase=100/2997 bitdepth=8 cabac=0 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=2 keyint=90 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1200 ratetol=1.0 qcomp=0.60 qpmin=10 qpmax=51 qpstep=4 ip_ratio=1.41 aq=1:1.00
in:118 out:118 type:P dur:2 cpbdur:2 q:28.98 aq:23.36 tex:13478 mv:2404 misc:1190 imb:14 pmb:408 smb:778 d:- ref:0 ;
in:119 out:119 type:P dur:2 cpbdur:2 q:28.93 aq:23.47 tex:17309 mv:2621 misc:1270 imb:17 pmb:505 smb:678 d:- ref:0 ;
in:120 out:120 type:P dur:2 cpbdur:2 q:28.87 aq:23.50 tex:15179 mv:2020 misc:1177 imb:12 pmb:378 smb:810 d:- ref:0 ;
in:121 out:121 type:P dur:2 cpbdur:2 q:28.80 aq:24.16 tex:10240 mv:1444 misc:996 imb:17 pmb:260 smb:923 d:- ref:0 ;
in:122 out:122 type:P dur:2 cpbdur:2 q:28.74 aq:23.51 tex:22403 mv:3237 misc:1344 imb:18 pmb:605 smb:577 d:- ref:0 ;
in:123 out:123 type:P dur:2 cpbdur:2 q:28.67 aq:23.72 tex:12329 mv:2032 misc:1119 imb:13 pmb:350 smb:837 d:- ref:0 ;
in:124 out:124 type:P dur:2 cpbdur:2 q:28.58 aq:23.33 tex:15430 mv:2019 misc:1175 imb:22 pmb:385 smb:793 d:- ref:0 ;
in:125 out:125 type:P dur:2 cpbdur:2 q:28.51 aq:23.96 tex:11410 mv:1954 misc:1092 imb:19 pmb:340 smb:841 d:- ref:0 ;
in:126 out:126 type:P dur:2 cpbdur:2 q:28.43 aq:23.11 tex:27612 mv:3844 misc:1376 imb:34 pmb:708 smb:458 d:- ref:0 ;
in:127 out:127 type:P dur:2 cpbdur:2 q:28.33 aq:23.06 tex:12894 mv:2243 misc:1143 imb:24 pmb:373 smb:803 d:- ref:0 ;
in:128 out:128 type:P dur:2 cpbdur:2 q:28.28 aq:23.08 tex:18292 mv:2403 misc:1177 imb:22 pmb:425 smb:753 d:- ref:0 ;
in:129 out:129 type:P dur:2 cpbdur:2 q:28.19 aq:22.74 tex:15252 mv:2636 misc:1168 imb:10 pmb:450 smb:740 d:- ref:0 ;
in:130 out:130 type:P dur:2 cpbdur:2 q:28.11 aq:23.34 tex:17808 mv:3441 misc:1247 imb:29 pmb:527 smb:644 d:- ref:0 ;
in:131 out:131 type:P dur:2 cpbdur:2 q:28.02 aq:23.18 tex:32680 mv:4117 misc:1291 imb:34 pmb:617 smb:549 d:- ref:0 ;
in:132 out:132 type:P dur:2 cpbdur:2 q:27.99 aq:23.41 tex:16367 mv:2148 misc:1149 imb:7 pmb:414 smb:779 d:- ref:0 ;
in:133 out:133 type:P dur:2 cpbdur:2 q:27.90 aq:23.08 tex:34778 mv:3844 misc:1306 imb:59 pmb:584 smb:557 d:- ref:0 ;
in:134 out:134 type:P dur:2 cpbdur:2 q:27.84 aq:22.65 tex:22402 mv:3309 misc:1233 imb:76 pmb:503 smb:621 d:- ref:0 ;
in:135 out:135 type:P dur:2 cpbdur:2 q:27.76 aq:22.50 tex:17083 mv:3308 misc:1281 imb:26 pmb:560 smb:614 d:- ref:0 ;
in:136 out:136 type:P dur:2 cpbdur:2 q:27.70 aq:22.58 tex:30753 mv:4573 misc:1354 imb:38 pmb:731 smb:431 d:- ref:0 ;
in:137 out:137 type:P dur:2 cpbdur:2 q:27.69 aq:22.32 tex:29770 mv:3681 misc:1277 imb:35 pmb:627 smb:538 d:- ref:0 ;
in:138 out:138 type:P dur:2 cpbdur:2 q:27.61 aq:22.32 tex:35978 mv:4053 misc:1289 imb:41 pmb:635 smb:524 d:- ref:0 ;
in:139 out:139 type:P dur:2 cpbdur:2 q:27.61 aq:21.75 tex:35687 mv:3581 misc:1252 imb:39 pmb:543 smb:618 d:- ref:0 ;
in:140 out:140 type:P dur:2 cpbdur:2 q:27.56 aq:21.91 tex:23062 mv:2060 misc:1054 imb:8 pmb:388 smb:804 d:- ref:0 ;
in:141 out:141 type:P dur:2 cpbdur:2 q:27.50 aq:22.20 tex:23051 mv:1718 misc:1079 imb:18 pmb:338 smb:844 d:- ref:0 ;
in:142 out:142 type:P dur:2 cpbdur:2 q:27.48 aq:21.94 tex:23370 mv:1846 misc:960 imb:22 pmb:320 smb:858 d:- ref:0 ;
in:143 out:143 type:P dur:2 cpbdur:2 q:27.46 aq:22.23 tex:20743 mv:1708 misc:925 imb:12 pmb:290 smb:898 d:- ref:0 ;
in:144 out:144 type:P dur:2 cpbdur:2 q:27.46 aq:22.98 tex:29078 mv:2198 misc:1124 imb:19 pmb:382 smb:799 d:- ref:0 ;
